Company name,ASX code,GICS industry group
"ALCASTON MINING NL",AMG,"Materials"
"ALCOA INC.",AAI,"Materials"
"ALESCO CORPORATION LIMITED",ALS,"Capital Goods"
"ALEXANDERS SECURITIES LIMITED",ALE,"Diversified Financials"
"ALINTA LIMITED",ALN,"Utilities"
"ALIQUOT ASSET MANAGEMENT LIMITED",AQT,"Materials"
"ALKANE EXPLORATION LIMITED",ALK,"Materials"
"ALLEGIANCE MINING NL",AGM,"Materials"
"ALLIANCE ENERGY LIMITED",AGS,"Materials"
"ALLIANCE FINANCE CORPORATION LIMITED",AFC,"Diversified Financials"
"ALLSTATE EXPLORATIONS NL",ALX,"Materials"
"ALPHA TECHNOLOGIES CORPORATION LIMITED",ASU,"Technology Hardware & Equipment"
"ALTERA CAPITAL LIMITED",AEA,"Retailing"
"ALTIUM LIMITED",ALU,"Software & Services"
"ALUMINA LIMITED",AWC,"Materials"
"AMADEUS ENERGY LIMITED",AMU,"Energy"
"AMALGAMATED HOLDINGS LIMITED",AHD,"Media"
"AMBITION GROUP LIMITED (THE)",AMB,"Commercial Services & Supplies"
"AMBRI LIMITED",ABI,"Pharmaceuticals & Biotechnology"
"AMCIL LIMITED",AMH,"Diversified Financials"
"AMCOM TELECOMMUNICATIONS LIMITED",AMM,"Telecommunication Services"
"AMCOR INVESTMENTS (NEW ZEALAND) LIMITED",AMZ,"GICS Sector Code Not Applicable"
"AMCOR LIMITED",AMC,"Materials"
"AMITY OIL LIMITED",AYO,"Energy"
"AMLINK GROUP LIMITED",ANK,"Software & Services"
"AMMTEC LIMITED",AEC,"Materials"
"AMNET LIMITED",ATT,"Software & Services"
"AMP GROUP FINANCE SERVICES LIMITED",AMQ,"GICS Sector Code Not Applicable"
"AMP INDUSTRIAL TRUST",AIP,"Real Estate"
"AMP LIMITED",AMP,"Insurance"
"AMP RESET PREFERRED SECURITIES TRUST",AMK,"GICS Sector Code Not Applicable"
"AMRAD CORPORATION LIMITED",AML,"Pharmaceuticals & Biotechnology"
"AMSKAN LIMITED",ASK,"Software & Services"
"ANACONDA NICKEL LIMITED",ANL,"Materials"
"ANADIS LIMITED",ANX,"Pharmaceuticals & Biotechnology"
"ANALYTICA LIMITED",ALT,"Pharmaceuticals & Biotechnology"
"ANEKA TAMBANG (PERSERO) TBK (PT)",ATM,"Materials"
"ANGLO AUSTRALIAN RESOURCES NL",AAR,"Materials"
"ANGLO PACIFIC GROUP PLC",AGP,"Materials"
"ANGLOGOLD LIMITED.",AGG,"Materials"
"ANGUS & COOTE (HOLDINGS) LIMITED",ANC,"Retailing"
"ANSELL LIMITED",ANN,"Health Care Equipment & Services"
"ANTAEUS ENERGY LIMITED",AEL,"Materials"
"ANTISENSE THERAPEUTICS LIMITED",ANP,"Pharmaceuticals & Biotechnology"
"ANVIL MINING NL",AVL,"Materials"
"ANZOIL NL",AZL,"Energy"
"AP EAGERS LIMITED",APE,"Retailing"
"APEX MINERALS NL",AXM,"Materials"
"APN NEWS & MEDIA LIMITED",APN,"Media"
"APOLLO GOLD MINING LIMITED",AOO,"Materials"
"AQUACAROTENE LIMITED",AQL,"Health Care Equipment & Services"
"AQUARIUS PLATINUM LIMITED",AQP,"Materials"
"AQUILA RESOURCES LIMITED",AQA,"Materials"
"ARAFURA RESOURCES NL",ARU,"Classification Pending"
"ARB CORPORATION LIMITED",ARP,"Retailing"
"ARC ENERGY NL",ARQ,"Energy"
"ARGO INVESTMENTS LIMITED",ARG,"Diversified Financials"
"ARGONAUT RESOURCES NL",ARE,"Materials"
"ARGOSY MINERALS INC",AGY,"Materials"
"ARIADNE AUSTRALIA LIMITED",ARA,"Real Estate"
"ARISTOCRAT LEISURE LIMITED",ALL,"Hotels Restaurants & Leisure"
"ARMSTRONG JONES OFFICE FUND",AJO,"Real Estate"
"ARROW ENERGY NL",AOE,"Energy"
"ARROW PHARMACEUTICALS LIMITED",AWP,"Pharmaceuticals & Biotechnology"
"ASG GROUP LIMITED",ASZ,"Software & Services"
"ASHBURTON MINERALS LIMITED",ATN,"Materials"
"ASIA MULTI-FOODS & OILS (AUSTRALIA) LIMITED",AMF,"Food Beverage & Tobacco"
"ASIAN DEVELOPMENT BANK",ATB,"GICS Sector Code Not Applicable"
"ASIF I",ASI,"GICS Sector Code Not Applicable"
"ASPEN GROUP",APZ,"Real Estate"
"ASPERMONT LIMITED.",ASP,"Media"
"ASSET BACKED HOLDINGS LIMITED",ABK,"Diversified Financials"
"ASTRO MINING NL",ARO,"Materials"
"ASTRON LIMITED",ATR,"Materials"
"ATECH HOLDINGS LIMITED",ATH,"Hotels Restaurants & Leisure"
"ATLANTIC LIMITED",ATI,"Food Beverage & Tobacco"
"ATLAS GROUP HOLDINGS LIMITED",AHS,"Capital Goods"
"ATLAS PACIFIC LIMITED",ATP,"Consumer Durables & Apparel"
"AUCKLAND INTERNATIONAL AIRPORT LIMITED",AIA,"Transportation"
"AUDAX RESOURCES LIMITED",ADX,"Materials"
"AUIRON ENERGY LIMITED",AUY,"Materials"
"AUREX CONSOLIDATED LIMITED",AXL,"Software & Services"
"AURIDIAM LIMITED",ADM,"Materials"
"AUSDRILL LIMITED",ASL,"Materials"
"AUSMELT LIMITED",AET,"Capital Goods"
"AUSPINE LIMITED",ANE,"Materials"
"AUSTAL LIMITED",ASB,"Capital Goods"
"AUSTAR UNITED COMMUNICATIONS LIMITED",AUN,"Media"
"AUSTEREO GROUP LIMITED",AEO,"Media"
"AUSTIN GROUP LIMITED",ATG,"Retailing"
"AUSTINDO RESOURCES CORPORATION NL",ARX,"Materials"
"AUSTMINEX NL",ATX,"Materials"
"AUSTPAC RESOURCES NL",APG,"Materials"
"AUSTRAL COAL LIMITED",AUO,"Materials"
"AUSTRALAND HOLDINGS LIMITED",ALZ,"Real Estate"
"AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED",ANZ,"Banks"
"AUSTRALIAN AGRICULTURAL COMPANY LIMITED.",AAC,"Food Beverage & Tobacco"
"AUSTRALIAN CANCER TECHNOLOGY LIMITED",ACU,"Pharmaceuticals & Biotechnology"
"AUSTRALIAN CENTRAL CREDIT UNION LIMITED",ACD,"GICS Sector Code Not Applicable"
"AUSTRALIAN COMMONWEALTH GOVERNMENT LOANS",XCL,"GICS Sector Code Not Applicable"
"AUSTRALIAN DEVELOPMENT CAPITAL FUND",ADV,"Diversified Financials"
"AUSTRALIAN ENERGY LIMITED",AEN,"Utilities"
"AUSTRALIAN ETHICAL INVESTMENT LIMITED",AEF,"GICS Sector Code Not Applicable"
"AUSTRALIAN FOOD & FIBRE LIMITED",AFF,"Food Beverage & Tobacco"
"AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED",AFI,"Diversified Financials"
"AUSTRALIAN GAS LIGHT COMPANY (THE)",AGL,"Utilities"
"AUSTRALIAN GROWTH LIMITED",AGW,"Materials"
"AUSTRALIAN GROWTH PROPERTIES LIMITED",AGH,"Real Estate"
"AUSTRALIAN HEALTHCARE TECHNOLOGY LTD",AUH,"Health Care Equipment & Services"
"AUSTRALIAN HERITAGE GROUP LIMITED",AHT,"Diversified Financials"
"AUSTRALIAN HOTEL FUND",AHO,"Real Estate"
"AUSTRALIAN INFRASTRUCTURE FUND",AIX,"Transportation"
"AUSTRALIAN INNOVATION LIMITED.",AIL,"Diversified Financials"
"AUSTRALIAN MAGNESIUM CORPORATION LIMITED",ANM,"Materials"
"AUSTRALIAN MINES LIMITED",AUZ,"Materials"
"AUSTRALIAN MINING INVESTMENTS LIMITED",AUM,"Materials"
"AUSTRALIAN PHARMACEUTICAL INDUSTRIES LIMITED",API,"Pharmaceuticals & Biotechnology"
"AUSTRALIAN PIPELINE TRUST",APA,"Utilities"
"AUSTRALIAN PLANTATION TIMBER LIMITED",APL,"Materials"
"AUSTRALIAN PURE FRUITS LIMITED",AFL,"Food Beverage & Tobacco"
"AUSTRALIAN RURAL GROUP LIMITED",ASR,"Diversified Financials"
"AUSTRALIAN SILICON LIMITED",ASO,"Materials"
"AUSTRALIAN STOCK EXCHANGE LIMITED",ASX,"Diversified Financials"
"AUSTRALIAN UNITED GOLD LIMITED",AUL,"Materials"
"AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED",AUI,"Diversified Financials"
"AUSTRALIAN VALUE FUNDS MANAGEMENT LIMITED",AVF,"Food Beverage & Tobacco"
"AUSTRALIAN VISUAL COMMUNICATIONS LIMITED",AVC,"Technology Hardware & Equipment"
"AUSTRALIAN WINE HOLDINGS LIMITED",AWL,"Food Beverage & Tobacco"
"AUSTRALIAN WORLDWIDE EXPLORATION LIMITED",AWE,"Energy"
"AUSTRIM NATIONAL RADIATORS LIMITED",ANT,"GICS Sector Code Not Applicable"
"AUSTRIM NYLEX LIMITED",ARL,"Capital Goods"
"AUTO ENTERPRISES LIMITED",ATL,"Commercial Services & Supplies"
"AUTO GROUP LIMITED",ALO,"Retailing"
"AUTRON CORPORATION LIMITED",AAT,"Technology Hardware & Equipment"
"AVATAR INDUSTRIES LIMITED",AVR,"Consumer Durables & Apparel"
"AVIVA CORPORATION LIMITED",AVA,"Materials"
"AVJENNINGS HOMES LIMITED",AVJ,"Real Estate"
"AVOCA RESOURCES LIMITED",AVO,"Materials"
"AVON RESOURCES LTD",AVN,"Materials"
"AVT HOLDINGS LIMITED",AVT,"Pharmaceuticals & Biotechnology"
"AWB LIMITED",AWB,"Food & Staples Retailing"
"AWX CAPITAL LIMITED",AWX,"Diversified Financials"
"AXA ASIA PACIFIC HOLDINGS LIMITED",AXA,"Insurance"
"AXIOM PROPERTIES LIMITED",AXI,"Real Estate"
"AXON INSTRUMENTS INC",AXN,"Health Care Equipment & Services"
"AZTEC RESOURCES LIMITED",AZR,"Materials"
"B DIGITAL LIMITED",BBB,"Telecommunication Services"
"BALLARAT GOLDFIELDS NL",BGF,"Materials"
"BAMBUU LIMITED",BUU,"Software & Services"
"BANK NEDERLANDSE GEMEENTEN",BNG,"GICS Sector Code Not Applicable"
"BANK OF QUEENSLAND LIMITED.",BOQ,"Banks"
"BANK OF WESTERN AUSTRALIA LIMITED",BWA,"Banks"
"BANQUE-TEC LIMITED",BQT,"Technology Hardware & Equipment"
"BARRA RESOURCES LIMITED",BAR,"Materials"
"BASS STRAIT OIL TRUST",BSO,"Energy"
"BATAVIA MINING LIMITED",BTV,"Materials"
"BAXTER GROUP LIMITED",BAX,"Commercial Services & Supplies"
"BAYCORP ADVANTAGE LIMITED",BCA,"Software & Services"
"BAYERISCHE HYPO-UND VEREINSBANK",BHV,"GICS Sector Code Not Applicable"
"BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT",BMW,"GICS Sector Code Not Applicable"
"BEACH PETROLEUM LIMITED",BPT,"Energy"
"BEACONSFIELD GOLD NL",BCD,"Materials"
"BECKER GROUP LIMITED",BKR,"Media"
"BELMONT HOLDINGS LIMITED",BET,"Diversified Financials"
"BEMAX RESOURCES NL",BMX,"Materials"
"BENDIGO BANK LIMITED",BEN,"Banks"
"BENDIGO MINING NL",BDG,"Materials"
"BENITEC LIMITED",BLT,"Pharmaceuticals & Biotechnology"
"BENTLEY EQUITIES LIMITED",BEL,"Diversified Financials"
"BENWOOD PROPERTY TRUST (THE)",BNW,"Real Estate"
"BERKELEY RESOURCES LIMITED",BKY,"Materials"
"BERKLEE LIMITED",BER,"Automobile & Components"
"BESTON WINE INDUSTRY TRUST (THE)",BWI,"Food Beverage & Tobacco"
"BETCORP LIMITED",BCL,"Hotels Restaurants & Leisure"
"BEYOND INTERNATIONAL LIMITED",BYI,"Media"
"BHP BILLITON FINANCE LIMITED",BHF,"GICS Sector Code Not Applicable"
"BHP BILLITON LIMITED",BHP,"Materials"
"BHP STEEL LIMITED",BSL,"Materials"
"BIDVEST PLC",BHL,"Food & Staples Retailing"
"BIG KEV'S LIMITED",BKV,"Household & Personal Products"
"BILLABONG INTERNATIONAL LIMITED",BBG,"Consumer Durables & Apparel"
"BIONOMICS LIMITED",BNO,"Pharmaceuticals & Biotechnology"
"BIOPROSPECT LIMITED",BPO,"Pharmaceuticals & Biotechnology"
"BIOTA HOLDINGS LIMITED",BTA,"Pharmaceuticals & Biotechnology"
"BIOTECH CAPITAL LIMITED",BTC,"Pharmaceuticals & Biotechnology"
"BIOTRON LIMITED",BIT,"Pharmaceuticals & Biotechnology"
"BIRON CAPITAL LIMITED",BIC,"Banks"
"BISAN LIMITED",BSN,"Diversified Financials"
"BLACK RANGE MINERALS LIMITED",BLR,"Materials"
"BLACKMORES LIMITED",BKL,"Health Care Equipment & Services"
"BLAZE INTERNATIONAL LIMITED",BLZ,"Software & Services"
"BLIGH VENTURES LIMITED",BLV,"Telecommunication Services"
"BLINK MODELS LIMITED",BKM,"Consumer Durables & Apparel"
"BMW (UK) CAPITAL PLC",BME,"GICS Sector Code Not Applicable"
"BMW COORDINATION CENTER N.V.",BMK,"GICS Sector Code Not Applicable"
"BMW FINANCE N.V.",BMF,"GICS Sector Code Not Applicable"
"BMW US CAPITAL LLC",BMU,"GICS Sector Code Not Applicable"
"BOLNISI GOLD NL",BSG,"Materials"
"BONLAC FOODS LIMITED",BFL,"GICS Sector Code Not Applicable"
"BOOM LOGISTICS LIMITED",BOL,"Classification Pending"
"BORAL LIMITED.",BLD,"Materials"
"BOUGAINVILLE COPPER LIMITED",BOC,"Materials"
"BOULDER STEEL LIMITED",BGD,"Materials"
"BOUNTY OIL & GAS NL",BUY,"Energy"
"BRAIN RESOURCE COMPANY LIMITED (THE)",BRC,"Health Care Equipment & Services"
"BRAMBLES INDUSTRIES LIMITED",BIL,"Commercial Services & Supplies"
"BRANDRILL LIMITED",BDL,"Capital Goods"
"BRAZIN LIMITED",BRZ,"Retailing"
"BREAKAWAY RESOURCES LIMITED",BRW,"Materials"
"BREAKFREE LIMITED",BRK,"Hotels Restaurants & Leisure"
"BREATHE GROUP LIMITED",BRE,"Telecommunication Services"
"BRESAGEN LIMITED",BGN,"Pharmaceuticals & Biotechnology"
"BRICKWORKS LIMITED",BKW,"Materials"
"BRIDGESTONE AUSTRALIA LIMITED",BDS,"Automobile & Components"
"BRISBANE BRONCOS LIMITED",BBL,"Consumer Durables & Apparel"
"BRISBANE CITY COUNCIL",XQB,"GICS Sector Code Not Applicable"
"BRISTILE LTD",BRS,"Materials"
"BRITANNIA BUILDING SOCIETY",BBS,"GICS Sector Code Not Applicable"
"BROADCAST SERVICES AUSTRALIA LIMITED",BSA,"Commercial Services & Supplies"
"BROADTEL COMMUNICATIONS LIMITED",BRO,"Telecommunication Services"
"BUDERIM GINGER LIMITED",BUG,"Food Beverage & Tobacco"
"BUKA MINERALS LIMITED",BKA,"Materials"
"BULLION MINERALS LIMITED",BLN,"Materials"
"BUNNINGS WAREHOUSE PROPERTY TRUST",BWP,"Real Estate"
"BURDEKIN PACIFIC LIMITED",BKS,"Materials"
"BURNS, PHILP & COMPANY LIMITED",BPC,"Food Beverage & Tobacco"
"BURSWOOD LIMITED",BIR,"Hotels Restaurants & Leisure"
"BYTE POWER GROUP LIMITED",BPG,"Capital Goods"
"CABCHARGE AUSTRALIA LIMITED",CAB,"Commercial Services & Supplies"
"CALTEX AUSTRALIA LIMITED",CTX,"Energy"
"CAMPBELL BROTHERS LIMITED",CPB,"Materials"
"CANADA LAND LIMITED",CDL,"Real Estate"
"CANBERRA INVESTMENT CORPORATION LIMITED",CNB,"Real Estate"
"CANBET LIMITED",CBT,"Hotels Restaurants & Leisure"
"CANDLE AUSTRALIA LIMITED",CND,"Commercial Services & Supplies"
"CANNING ENERGY LIMITED",CNE,"Diversified Financials"
"CAPE RANGE WIRELESS LIMITED",CAG,"Telecommunication Services"
"CAPRAL ALUMINIUM LIMITED",CAA,"Materials"
"CARBON MINERALS NL",CRM,"Energy"
"CARDIA TECHNOLOGIES LIMITED",CNN,"Capital Goods"
"CARINDALE PROPERTY TRUST",CDP,"Real Estate"
"CARLTON INVESTMENTS LIMITED",CIN,"Diversified Financials"
"CARNARVON PETROLEUM LIMITED",CVN,"Energy"
"CARNEGIE CORPORATION LIMITED",CNM,"Materials"
"CARPATHIAN RESOURCES LIMITED",CPN,"Energy"
"CARPENTER PACIFIC RESOURCES NL",CPC,"Materials"
"CARTER HOLT HARVEY LIMITED",CHY,"Materials"
"CASH CONVERTERS INTERNATIONAL",CCV,"Retailing"
"CASINOS AUSTRIA INTERNATIONAL LIMITED",CAI,"Hotels Restaurants & Leisure"
"CATALYST RECRUITMENT SYSTEMS LIMITED",CRU,"Commercial Services & Supplies"
"CATUITY INC",CAT,"Software & Services"
"CBD ENERGY LIMITED",CBD,"Software & Services"
"CBD RETAIL INFRASTRUCTURE (NO.2) LIMITED",CBE,"GICS Sector Code Not Applicable"
"CCI HOLDINGS LIMITED.",CHL,"Materials"
"CCK FINANCIAL SOLUTIONS LIMITED",CCK,"Software & Services"
"CDK TECTONICS LIMITED",CDK,"Capital Goods"
"CDS TECHNOLOGIES LIMITED",CDX,"Capital Goods"
"CED AUSTRALASIA LIMITED",CED,"Commercial Services & Supplies"
"CEDAR WOODS PROPERTIES LIMITED",CWP,"Real Estate"
"CELLESTIS LIMITED",CST,"Pharmaceuticals & Biotechnology"
"CELLNET GROUP LIMITED",CLT,"Technology Hardware & Equipment"
"CENTAMIN EGYPT LIMITED",CNT,"Materials"
"CENTAURI CORPORATION",CET,"GICS Sector Code Not Applicable"
"CENTENNIAL COAL COMPANY LIMITED",CEY,"Materials"
"CENTRAL ASIA GOLD LIMITED",CGX,"Materials"
"CENTRAL EQUITY LIMITED",CEQ,"Real Estate"
"CENTRAL EXCHANGE LIMITED",CXL,"Telecommunication Services"
"CENTRAL KALGOORLIE GOLD MINES LIMITED",CKG,"Materials"
"CENTRAL WEST GOLD NL",CWG,"Materials"
"CENTRO PROPERTIES GROUP",CEP,"Real Estate"
"CERVANTES SEAFOOD LIMITED",CVS,"Food Beverage & Tobacco"
"CFS GANDEL RETAIL TRUST",GAN,"Real Estate"
"CHALLENGER FINANCIAL SERVICES GROUP",CFG,"Diversified Financials"
"CHALMERS LIMITED",CHR,"Transportation"
"CHAMELEON MINING NL",CHM,"Materials"
"CHAPMANS LIMITED",CHP,"Diversified Financials"
"CHARIOT LIMITED",CTI,"Software & Services"
"CHARTER PACIFIC CORPORATION LIMITED",CHF,"Capital Goods"
"CHARTERS TOWERS GOLD MINES LIMITED",CTO,"Materials"
"CHEMEQ LIMITED",CMQ,"Pharmaceuticals & Biotechnology"
"CHESTER MINING LIMITED",CHT,"Materials"
"CHIEFTAIN SECURITIES LIMITED",CFS,"Diversified Financials"
"CHILD CARE CENTRES AUSTRALIA LIMITED",CDC,"Commercial Services & Supplies"
"CHINA CONSTRUCTION HOLDINGS LIMITED",CIH,"Capital Goods"
"CHINA CONVERGENT CORPORATION LIMITED",CBC,"Capital Goods"
"CHINA WEST INTERNATIONAL HOLDINGS LIMITED",CWH,"Materials"
"CHIQUITA BRANDS SOUTH PACIFIC LIMITED",CHQ,"Food Beverage & Tobacco"
"CHOISEUL INVESTMENTS LIMITED",CHO,"Diversified Financials"
"CHONGHERR INVESTMENTS LTD",CDH,"Materials"
"CIRCADIAN TECHNOLOGIES LIMITED",CIR,"Pharmaceuticals & Biotechnology"
"CIRCLECOM LIMITED",CCO,"Telecommunication Services"
"CITADEL POOLED DEVELOPMENT LIMITED",CID,"Diversified Financials"
"CITECT CORPORATION LIMITED",CTL,"Software & Services"
"CITIC AUSTRALIA TRADING LIMITED",CAL,"Capital Goods"
"CITY PACIFIC LIMITED",CIY,"Diversified Financials"
"CITYVIEW CORPORATION LIMITED",CVI,"Energy"
"CLEARVIEW CAPITAL LIMITED",CVL,"Software & Services"
"CLEARWATER GROUP LIMITED",CLE,"Real Estate"
"CLIMAX MINING LIMITED",CMX,"Materials"
"CLINICAL CELL CULTURE LIMITED",CCE,"Pharmaceuticals & Biotechnology"
"CLOUGH LIMITED",CLO,"Capital Goods"
"CLOVER CORPORATION LIMITED",CLV,"Health Care Equipment & Services"
"CLUB CROCODILE HOLDINGS LIMITED",CCH,"Hotels Restaurants & Leisure"
"CLUFF RESOURCES PACIFIC NL",CFR,"Materials"
"CMC POWER SYSTEMS LIMITED",CSY,"Automobile & Components"
"CMI LIMITED.",CMI,"Capital Goods"
"COAL & ALLIED INDUSTRIES LIMITED",CNA,"Materials"
"COATES HIRE LIMITED",COA,"Commercial Services & Supplies"
"COCA-COLA AMATIL LIMITED",CCL,"Food Beverage & Tobacco"
"COCA-COLA HELLENIC BOTTLING COMPANY S.A.",CHB,"Food Beverage & Tobacco"
"COCHLEAR LIMITED",COH,"Health Care Equipment & Services"
"COCKATOO RIDGE WINES LIMITED",CKR,"Food Beverage & Tobacco"
"COFFEY INTERNATIONAL LIMITED",COF,"Commercial Services & Supplies"
"COLES MYER LTD.",CML,"Food & Staples Retailing"
"COLLECTION HOUSE LIMITED",CLH,"Commercial Services & Supplies"
"COLONIAL FIRST STATE PRIVATE CAPITAL LIMITED",CFI,"Diversified Financials"
"COLORADO GROUP LIMITED",CDO,"Retailing"
"COMDEK LIMITED.",CDS,"Classification Pending"
"COMET RESOURCES LIMITED",CRL,"Materials"
"COMMANDER COMMUNICATIONS LIMITED",CDR,"Technology Hardware & Equipment"
"COMMONWEALTH BANK OF AUSTRALIA.",CBA,"Banks"
"COMMONWEALTH DIVERSIFIED SHARE FUND",CDF,"Diversified Financials"
"COMMONWEALTH PROPERTY OFFICE FUND",CPA,"Real Estate"
"COMMSECURE LIMITED",CMS,"Software & Services"
"COMMSOFT GROUP LIMITED",CSG,"Software & Services"
"COMOPS LIMITED",COM,"Software & Services"
"COMPASS RESOURCES NL",CMR,"Materials"
"COMPUMEDICS LIMITED",CMP,"Health Care Equipment & Services"
"COMPUTERSHARE LIMITED.",CPU,"Software & Services"
"COMPUTRONICS HOLDINGS LIMITED",CPS,"Capital Goods"
"CONCEPT SYSTEMS INTERNATIONAL LIMITED",CSI,"Software & Services"
"CONNECT GROUP LIMITED",CGR,"Classification Pending"
"CONQUEST MINING LIMITED",CQT,"Materials"
"CONSOLIDATED BROKEN HILL LTD",CBH,"Materials"
"CONSOLIDATED MINERALS LIMITED",CSM,"Materials"
"CONSOLIDATED RUTILE LIMITED",CRT,"Materials"
"CONSTELLATION BRANDS, INC",CBR,"Food Beverage & Tobacco"
"CONTINENTAL GOLDFIELDS LIMITED",CNF,"Materials"
"COOL OR COSY LIMITED",COS,"Capital Goods"
"COONAWARRA AUSTRALIA PROPERTY TRUST",CNR,"Real Estate"
"COOPER ENERGY NL",COE,"Energy"
"CORDUKES LIMITED",CKS,"Capital Goods"
"CORPORATE EXPRESS AUSTRALIA LIMITED",CXP,"Commercial Services & Supplies"
"COSMOS LIMITED",COO,"Software & Services"
"COUNT FINANCIAL LIMITED",COU,"Diversified Financials"
"COUNTRY ROAD LIMITED",CTY,"Retailing"
"COUNTY DIAMONDS LIMITED",CYD,"Materials"
"COVENTRY GROUP LIMITED",CYG,"Automobile & Components"
"CP1 LIMITED",CPK,"Real Estate"
"CPI GROUP LIMITED",CPI,"Materials"
"CPT GLOBAL LIMITED",CGO,"Software & Services"
"CRANE GROUP LIMITED",CRG,"Capital Goods"
"CREDIT CORP GROUP LIMITED",CCP,"Commercial Services & Supplies"
"CROESUS MINING NL",CRS,"Materials"
"CROMWELL CORPORATION LIMITED",CMW,"Real Estate"
"CROWN DIAMONDS NL",CRD,"Materials"
"CROWN LIMITED",CRO,"GICS Sector Code Not Applicable"
"CRYOSITE LIMITED",CTE,"Pharmaceuticals & Biotechnology"
"CSL LIMITED",CSL,"Pharmaceuticals & Biotechnology"
"CSR LIMITED",CSR,"Materials"
"CTI COMMUNICATIONS LIMITED",CTC,"Telecommunication Services"
"CTI LOGISTICS LIMITED",CLX,"Transportation"
"CUE ENERGY RESOURCES LIMITED",CUE,"Energy"
"CULLEN RESOURCES LIMITED",CUL,"Materials"
"CUMNOCK COAL LIMITED",CMK,"Materials"
"CUSTOMERS LIMITED",CUS,"Software & Services"
"CVC LIMITED",CVC,"Diversified Financials"
"CYPRESS LAKES GROUP LIMITED",CLK,"Hotels Restaurants & Leisure"
"D'AGUILAR GOLD LIMITED",DGR,"Materials"
"DAILY PLANET LIMITED (THE)",DPL,"Hotels Restaurants & Leisure"
"DALRYMPLE RESOURCES NL",DRE,"Materials"
"DANAE RESOURCES NL",DNS,"Materials"
"DANKS HOLDINGS LIMITED",DKS,"Retailing"
"DARK BLUE SEA LIMITED",DBS,"Software & Services"
"DATA & COMMERCE LIMITED",DCL,"Media"
"DATA#3 LIMITED",DTL,"Software & Services"
"DATAFAST TELECOMMUNICATIONS LIMITED",DFT,"Telecommunication Services"
"DAVID JONES LIMITED",DJS,"Retailing"
