ASX Warrants Market as at 02/09/2004 17:01:31
CODE,TYPE,EXERCISE,EXPIRY,RATIO,EX STYLE,ISSUER,REGISTRY,LISTED,ISSUED (M),NOTES
AGLSMT,Self Funding Instalments,5.635,30/06/2009,1.0,American,MACQUARIE,COR,09/02/2004,10,Dividends paid on the underlying security will be used to reduce the Loan Amount (i.e. Exercise Price); effective from the ex-dividend date of the underlying security. The Loan Amount was amended from $5.21 to $5.635 on 30/6/04.
AGLSWA,Self Funding Instalments,6.1423,30/06/2009,1.0,European,WESTPAC,COR,16/02/2004,10,Dividends paid on the underlying security will be used to reduce the Loan Amount (i.e. Exercise Price); effective from the ex-dividend date of the underlying security. The Loan Amount was amended from $5.7032 to $6.1423 on 30/6/04.
AGLXOA,Barrier Call.,12.00,23/03/2005,1.0,European,CITIWARRANTS,COR,24/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
ALHIMC,Instalment Regular Rolling,1.40,20/05/2005,1.0,American,MACQUARIE,COR,21/05/2004,10,
ALHSMS,Self Funding Instalments,1.4308,30/06/2008,1.0,American,MACQUARIE,COR,07/11/2003,10,Dividends paid on the underlying security will be used to reduce the Loan Amount (i.e. Exercise Price); effective from the ex-dividend date of the underlying security. The Loan Amount was amended from $1.496 to $1.4308 on 17/8/04. 
ALHSMT,Self Funding Instalments,1.1593,30/06/2009,1.0,American,MACQUARIE,COR,09/02/2004,10,Dividends paid on the underlying security will be used to reduce the Loan Amount (i.e. Exercise Price); effective from the ex-dividend date of the underlying security. The Loan Amount was amended from $1.224 to $1.1593 on 17/8/04.
ALHSWA,Self Funding Instalments,1.3109,30/06/2009,1.0,European,WESTPAC,COR,16/02/2004,10,Dividends paid on the underlying security will be used to reduce the Loan Amount (i.e. Exercise Price); effective from the ex-dividend date of the underlying security. The Loan Amount was amended from $1.3802 to $1.3109 on 17/8/04.
ALLDMP,Instalment High Geared,5.50,23/03/2005,1.0,American,MACQUARIE,COR,03/09/2004,10,Trading deferred settlement until 16/9/04. Normal T+3 trading commences 17/9/04.
ALLIMD,Instalment High Geared Rolling,3.00,20/05/2005,1.0,American,MACQUARIE,COR,05/05/2003,10,
ALLIMF,Instalment Regular Rolling,1.25,18/11/2004,1.0,American,MACQUARIE,COR,29/08/2001,10,
ALLIMP,Instalment High Geared,5.50,23/03/2005,1.0,American,MACQUARIE,COR,17/09/2004,10,
ALLWME,Equity Call,5.75,25/11/2004,3.0,European,MACQUARIE,COR,23/07/2004,10,
ALLWMF,Equity Call,7.75,24/02/2005,4.0,European,MACQUARIE,COR,06/09/2004,10,
ALLWZA,Equity Call,5.25,22/12/2004,4.0,American,ABN AMRO,ADR,02/07/2004,2,
ALLWZP,Equity Put,4.50,22/12/2004,4.0,American,ABN AMRO,ADR,02/07/2004,2,
ALLXOB,Barrier Call.,6.00,23/09/2004,1.0,European,CITIWARRANTS,COR,15/07/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched. Ex Price and Barrier Level amended from $4.46 to $6.00 on 3/9/04. 
ALLXOC,Barrier Call.,5.71,23/03/2005,1.0,European,CITIWARRANTS,COR,24/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched. Ex Price & Barrier Level amended from $5.00 to $5.75 on 25/8/04.
ALNIMC,Instalment Regular Rolling,3.60,20/05/2005,1.0,American,MACQUARIE,COR,21/05/2004,10,
ALNIMT,Instalment High Geared,5.00,23/03/2005,1.0,American,MACQUARIE,COR,14/04/2004,2.5,
ALNIWK,Instalment Regular Rolling,3.50,17/06/2005,1.0,European,WESTPAC,COR,18/06/2004,10,
ALNIWL,Instalment High Geared Rolling,5.50,17/06/2005,1.0,European,WESTPAC,COR,18/06/2004,10,
AMCIDH,Instalment High Geared Rolling,7.00,15/06/2005,1.0,European,DEUTSCHE,COR,04/06/2003,10,
AMCIMF,Instalment Regular Rolling,5.25,18/11/2004,1.0,American,MACQUARIE,COR,29/08/2001,10,
AMCIMO,Instalment High Geared,4.25,22/12/2005,1.0,American,MACQUARIE,COR,09/06/2004,10,
AMCIMT,Instalment High Geared,6.50,28/10/2004,1.0,American,MACQUARIE,COR,25/02/2004,10,
AMCIOC,Instalment Regular Normal,4.50,23/06/2005,1.0,American,CITIWARRANTS,COR,21/05/2003,10,
AMCISC,Barrier Instalment,5.50,17/02/2005,1.0,American,UBS,COR,11/02/2004,10,Barrier Level is $6.05.
AMCISW,Instalment High Geared,7.00,14/04/2005,1.0,American,UBS,COR,23/04/2004,30,
AMCIWG,Instalment Regular Rolling,5.50,06/12/2004,1.0,European,WESTPAC,COR,18/12/2003,10,
AMCIWH,Instalment High Geared Rolling,7.50,06/12/2004,1.0,European,WESTPAC,COR,06/01/2004,10,
AMCIYB,Instalment Regular Normal,5.75,26/05/2005,1.0,American,COMM BANK,COR,29/04/2002,10,
AMCIYE,Instalment Regular Normal,6.75,25/09/2006,1.0,American,COMM BANK,COR,30/09/2003,10,
AMCSWA,Self Funding Instalments,3.8148,30/06/2009,1.0,European,WESTPAC,COR,11/06/2004,10,Dividends paid on the underlying security will be used to reduce the Loan Amount (i.e. Exercise Price); effective from the ex-dividend date of the underlying security. Ex Price amended from $3.9849 to $3.8148 on 3/9/04.
AMCXDC,Barrier Call.,6.09,23/09/2004,1.0,European,DEUTSCHE,COR,31/05/2004,3,Barrier = Exercise warrant. Terminates early if the barrier is touched.
AMCXDD,Barrier Call.,5.59,23/09/2004,1.0,European,DEUTSCHE,COR,31/05/2004,3,Barrier = Exercise warrant. Terminates early if the barrier is touched.
AMCXDQ,Barrier Put.,8.43,23/09/2004,1.0,European,DEUTSCHE,COR,23/02/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
AMCXDR,Barrier Put.,7.34,23/09/2004,1.0,European,DEUTSCHE,COR,16/04/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched. Ex Price & Barrier Level amended from $9.00 to $7.50 on 28/6/04.
AMCXDS,Barrier Put.,7.84,23/09/2004,1.0,European,DEUTSCHE,COR,31/05/2004,3,Barrier = Exercise warrant. Terminates early if the barrier is touched.
AMCXOA,Barrier Call.,6.59,23/09/2004,1.0,European,CITIWARRANTS,COR,04/06/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched. Ex Price & Barrier Level amended from $5.75 to $6.00 on 7/7/04 and to $6.75 on 25/8/04.
AMCXOB,Barrier Call.,5.84,23/03/2005,1.0,European,CITIWARRANTS,COR,24/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
AMCXOP,Barrier Put.,7.34,23/09/2004,1.0,European,CITIWARRANTS,COR,04/06/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched. Ex Price and Barrier Level amended from $7.25 to $7.50 on 21/6/04.
AMCXOQ,Barrier Put.,8.00,23/03/2005,1.0,European,CITIWARRANTS,COR,24/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
AMPEMG,Endowment,10.451,16/02/2009,1.0,European,MACQUARIE,COR,15/06/1998,7.5,
AMPIDA,Instalment Regular Rolling,3.50,15/06/2005,1.0,European,DEUTSCHE,COR,10/04/2000,10,
AMPIDH,Instalment High Geared Rolling,5.75,15/06/2005,1.0,European,DEUTSCHE,COR,20/05/2002,10,
AMPIGF,Instalment Regular Rolling,3.5878,17/11/2004,1.0,European,SG AUST,ADR,16/12/2002,5,Ex Price amended from $4.50 to $3.5878 on 19/12/03 as a result of the demerger.
AMPIGJ,Instalment High Geared Rolling,5.5878,17/11/2004,1.0,European,SG AUST,ADR,16/12/2002,5,Ex Price amended from $6.50 to $5.5878 on 19/12/03 as a result of the demerger.
AMPIMC,Instalment Regular Rolling,3.50,20/05/2005,1.0,American,MACQUARIE,COR,19/03/2001,10,
AMPIMD,Instalment High Geared Rolling,4.50,20/05/2005,1.0,American,MACQUARIE,COR,19/03/2001,10,
AMPIMF,Instalment Regular Rolling,3.10,18/11/2004,1.0,American,MACQUARIE,COR,07/11/2002,10,Ex Price was amended from $4.00 to $3.10 on 19/12/03 as a result of the AMP demerger.
AMPIMG,Instalment High Geared Rolling,5.10,18/11/2004,1.0,American,MACQUARIE,COR,29/08/2001,10,Ex Price was amended from $6.00 to $5.10 on 19/12/03 as a result of the AMP demerger.
AMPIMO,Instalment High Geared,3.75,22/12/2005,1.0,American,MACQUARIE,COR,09/06/2004,10,
AMPIMU,Instalment High Geared,5.75,23/12/2004,1.0,American,MACQUARIE,COR,16/07/2004,10,
AMPIOC,Instalment Regular Normal,2.00,23/06/2005,1.0,American,CITIWARRANTS,COR,21/05/2003,10,Ex Price amended from $3.00 to $2.92 on 23/10/03 due to AMP rights offer and to $2.00 on 19/12/03 as a result of the demerger.
AMPIOE,Instalment High Geared,4.25,29/04/2005,1.0,American,CITIWARRANTS,COR,24/03/2004,10,
AMPIOI,Instalment Regular Normal,3.00,18/11/2004,1.0,American,CITIWARRANTS,COR,18/11/2003,10,Ex Price amended from $4.50 to $3.00 on 22/12/03.
AMPIOJ,Instalment High Geared,4.50,18/11/2004,1.0,American,CITIWARRANTS,COR,18/11/2003,10,Ex Price amended from $6.00 to $4.50 on 22/12/03.
AMPIOL,Instalment Regular Normal,3.25,29/04/2005,1.0,American,CITIWARRANTS,COR,24/03/2004,10,
AMPIPB,Instalment High Geared,15.00,23/09/2004,1.0,American,BNP PARIBAS,COR,26/07/2001,1,Ex Price amended from $18.00 to $17.78 on 23/10/03 due to AMP rights offer and to $15.00 on 19/12/03 as a result of the demerger.
AMPISR,Instalment High Geared,5.00,17/05/2005,1.0,American,UBS,COR,03/06/2004,10,
AMPISS,Instalment High Geared Rolling,5.17,25/11/2004,1.0,American,UBS,COR,18/09/2002,10,Ex Price amended from $6.50 to $5.17 on 19/12/03 as a result of the demerger.
AMPIST,Instalment High Geared,3.75,17/02/2005,1.0,American,UBS,COR,11/02/2004,10,
AMPISX,Instalment High Geared Rolling,4.33,25/11/2004,1.0,American,UBS,COR,05/05/2003,20,Ex Price amended from $5.50 to $4.33 on 19/12/03 as a result of the demerger.
AMPIWE,Instalment Regular Normal,2.205,25/05/2005,1.0,American,WESTPAC,COR,28/05/2003,10,Ex Price amended from $3.00 to $2.205 on 19/12/03 as a result of the demerger.
AMPIWF,Instalment High Geared,3.705,25/05/2005,1.0,American,WESTPAC,COR,28/05/2003,10,Ex Price amended from $4.50 to $3.705 on 19/12/03 as a result of the demerger.
AMPIWH,Instalment High Geared Rolling,5.00,06/12/2004,1.0,European,WESTPAC,COR,06/01/2004,10,
AMPIWI,Instalment Regular Rolling,3.50,06/12/2004,1.0,European,WESTPAC,COR,06/01/2004,10,
AMPIYB,Instalment Regular Normal,13.46,26/05/2005,1.0,American,COMM BANK,COR,29/04/2002,20,Ex Price amended from $14.50 to $13.46 on 19/12/03 as a result of the AMP rights issue and demerger.
AMPIZM,Instalment High Geared,5.50,28/07/2005,1.0,American,ABN AMRO,ADR,01/07/2004,1,
AMPIZO,Instalment Regular Normal,2.835,15/06/2005,1.0,American,ABN AMRO,ADR,12/09/2003,2,The Ex Price was amended from $3.75 to $2.835 on 24/12/03 as a result of the demerger.
AMPIZQ,Instalment Regular Rolling,3.50,02/12/2005,1.0,American,ABN AMRO,ADR,03/05/2004,1,
AMPSMT,Self Funding Instalments,2.609,30/06/2009,1.0,American,MACQUARIE,COR,09/02/2004,10,Dividends paid on the underlying security will be used to reduce the Loan Amount (i.e. Exercise Price); effective from the ex-dividend date of the underlying security. Ex Price amended from $2.41 to $2.609 on 30/6/04.
AMPSWA,Self Funding Instalments,2.7014,30/06/2009,1.0,European,WESTPAC,COR,16/02/2004,10,Dividends paid on the underlying security will be used to reduce the Loan Amount (i.e. Exercise Price); effective from the ex-dividend date of the underlying security. Ex Price amended from $2.5083 to $2.7014 on 30/6/04.
AMPWMD,Equity Call,6.50,28/10/2004,3.0,European,MACQUARIE,COR,28/06/2004,20,
AMPWME,Equity Call,6.75,23/12/2004,3.0,European,MACQUARIE,COR,06/09/2004,20,
AMPWMP,Equity Put,6.00,28/10/2004,3.0,European,MACQUARIE,COR,28/06/2004,20,
AMPWMQ,Equity Put,5.75,23/12/2004,3.0,European,MACQUARIE,COR,06/09/2004,20,
AMPWOA,Equity Call,6.25,23/09/2004,3.0,European,CITIWARRANTS,COR,04/05/2004,30,
AMPWOB,Equity Call,6.50,23/09/2004,3.0,European,CITIWARRANTS,COR,15/07/2004,30,
AMPWOC,Equity Call,6.50,23/12/2004,3.0,European,CITIWARRANTS,COR,15/07/2004,30,
AMPWOD,Equity Call,6.75,23/12/2004,3.0,European,CITIWARRANTS,COR,15/07/2004,30,
AMPWOO,Equity Call,5.75,23/09/2004,3.0,European,CITIWARRANTS,COR,04/05/2004,30,
AMPWOU,Equity Put,6.00,23/09/2004,3.0,European,CITIWARRANTS,COR,04/05/2004,30,Ex Price amended from $5.50 to $6.00 on 29/7/04.
AMPWOV,Equity Put,6.25,23/09/2004,3.0,European,CITIWARRANTS,COR,04/05/2004,30,Ex Price amended from $5.75 to $6.25 on 6/8/04.
AMPWOW,Equity Put,5.75,23/12/2004,3.0,European,CITIWARRANTS,COR,15/07/2004,30,
AMPWOX,Equity Put,6.00,23/12/2004,3.0,European,CITIWARRANTS,COR,15/07/2004,30,
AMPWZH,Equity Call,7.00,22/12/2004,2.0,American,ABN AMRO,ADR,02/07/2004,2,
AMPWZR,Equity Put,6.00,22/12/2004,2.0,American,ABN AMRO,ADR,02/07/2004,2,
AMPXDA,Barrier Call.,4.66,23/09/2004,1.0,European,DEUTSCHE,COR,17/03/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
AMPXDB,Barrier Call.,4.16,23/09/2004,1.0,European,DEUTSCHE,COR,17/03/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
AMPXDC,Barrier Call.,5.75,23/09/2004,1.0,European,DEUTSCHE,COR,17/03/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched. Ex Price & Barrier Level amended from $3.66 to $5.75 on 28/6/04.
AMPXDD,Barrier Call.,5.25,23/09/2004,1.0,European,DEUTSCHE,COR,16/04/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
AMPXDE,Barrier Call.,5.75,23/03/2005,1.0,European,DEUTSCHE,COR,30/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
AMPXDF,Barrier Call.,5.25,23/03/2005,1.0,European,DEUTSCHE,COR,30/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
AMPXDQ,Barrier Put.,6.91,23/09/2004,1.0,European,DEUTSCHE,COR,17/03/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
AMPXDR,Barrier Put.,7.41,23/09/2004,1.0,European,DEUTSCHE,COR,17/03/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
AMPXDS,Barrier Put.,6.75,23/03/2005,1.0,European,DEUTSCHE,COR,30/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
AMPXDT,Barrier Put.,7.00,23/03/2005,1.0,European,DEUTSCHE,COR,30/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
AMPXMB,Barrier Call.,5.50,09/09/2004,1.0,European,MACQUARIE,COR,12/07/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
AMPXMQ,Barrier Put.,7.00,09/09/2004,1.0,European,MACQUARIE,COR,12/07/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
AMPXOA,Barrier Call.,5.50,23/09/2004,1.0,European,CITIWARRANTS,COR,04/06/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched. Ex Price and Barrier Level amended from $4.50 to $5.50 on 24/6/04.
AMPXOC,Barrier Call.,5.75,23/03/2005,1.0,European,CITIWARRANTS,COR,24/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
AMPXOD,Barrier Call.,6.00,23/03/2005,1.0,European,CITIWARRANTS,COR,24/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
AMPXOP,Barrier Put.,7.00,23/09/2004,1.0,European,CITIWARRANTS,COR,04/06/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched. Ex Price and Barrier Level amended from $6.25 to $7.00 on 29/6/04.
AMPXOQ,Barrier Put.,6.75,23/09/2004,1.0,European,CITIWARRANTS,COR,04/06/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
AMPXOR,Barrier Put.,7.63,23/03/2005,1.0,European,CITIWARRANTS,COR,24/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
AMPXSA,Barrier Call.,5.25,24/02/2005,1.0,European,UBS,COR,31/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
AMPXSB,Barrier Call.,5.75,24/02/2005,1.0,European,UBS,COR,31/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
AMPXSP,Barrier Put.,7.00,24/02/2005,1.0,European,UBS,COR,31/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
AMPXSQ,Barrier Put.,7.50,24/02/2005,1.0,European,UBS,COR,31/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
AMREME,Basket Endowment,6.429,30/06/2006,1.0,European,MACQUARIE,E&Y,14/02/1996,6,The Underlying Parcel is 1 AMC and 1/3 PPX shares
AMREMF,Basket Endowment,5.06,30/06/2008,1.0,European,MACQUARIE,E&Y,18/08/1997,5,The Underlying Parcel is 1 AMC and 1/3 PPX shares
AMREMG,Basket Endowment,3.708,16/02/2009,1.0,European,MACQUARIE,E&Y,12/08/1998,2,The Underlying Parcel is 1 AMC and 1/3 PPX shares
ANZECE,Endowment,0.999,30/11/2006,1.0,European,CREDIT SUISS,COR,20/06/1996,25,
ANZEEA,Endowment,9.1573,15/02/2012,1.0,American,CHALLENGER,COR,22/08/2001,1.2,The Underlying Parcel was adjusted from 1 to 1.0424 ANZ shares on 30/10/03 as a result of the ANZ rights issue.
ANZEMF,Endowment,4.1169,30/06/2008,1.0,European,MACQUARIE,COR,28/08/1997,5,
ANZEMG,Endowment,5.82,16/02/2009,1.0,European,MACQUARIE,COR,17/08/1998,2,The Underlying Parcel was adjusted from 1 to 1.0424 ANZ shares on 30/10/03 as a result of tghe ANZ rights issue.
ANZIDA,Instalment Regular Rolling,12.00,15/06/2005,1.0,European,DEUTSCHE,COR,10/04/2000,10,
ANZIDH,Instalment High Geared Rolling,18.25,15/06/2005,1.0,European,DEUTSCHE,COR,20/05/2002,10,
ANZIGF,Instalment Regular Rolling,12.00,17/11/2004,1.0,European,SG AUST,ADR,16/12/2002,5,
ANZIGJ,Instalment High Geared Rolling,17.50,17/11/2004,1.0,European,SG AUST,ADR,16/12/2002,5,
ANZIMB,Instalment High Geared,16.50,28/10/2004,1.0,American,MACQUARIE,COR,16/08/2004,10,
ANZIMC,Instalment Regular Rolling,12.00,20/05/2005,1.0,American,MACQUARIE,COR,19/03/2001,10,
ANZIMD,Instalment High Geared Rolling,16.00,20/05/2005,1.0,American,MACQUARIE,COR,19/03/2001,10,
ANZIMF,Instalment Regular Rolling,11.50,18/11/2004,1.0,American,MACQUARIE,COR,10/12/2001,10,
ANZIMG,Instalment High Geared Rolling,15.50,18/11/2004,1.0,American,MACQUARIE,COR,29/08/2001,10,
ANZIMM,Instalment High Geared,11.50,23/06/2005,1.0,American,MACQUARIE,COR,07/05/2004,10,
ANZIMO,Instalment High Geared,11.50,22/12/2005,1.0,American,MACQUARIE,COR,09/06/2004,10,
ANZIMS,Instalment High Geared,17.00,23/09/2004,1.0,American,MACQUARIE,COR,16/07/2004,10,
ANZIMV,Instalment High Geared,15.00,23/06/2005,1.0,American,MACQUARIE,COR,14/04/2004,10,
ANZIMZ,Instalment High Geared,17.00,23/12/2004,1.0,American,MACQUARIE,COR,02/08/2004,10,
ANZIOC,Instalment Regular Normal,9.25,23/06/2005,1.0,American,CITIWARRANTS,COR,21/05/2003,10,Ex Price amended from $10.00 to $9.25 on 30/10/03 as a result of the ANZ rights issue.
ANZIOE,Instalment High Geared,16.00,29/04/2005,1.0,American,CITIWARRANTS,COR,24/03/2004,10,
ANZIOI,Instalment Regular Normal,13.00,18/11/2004,1.0,American,CITIWARRANTS,COR,18/11/2003,10,
ANZIOJ,Instalment High Geared,15.00,18/11/2004,1.0,American,CITIWARRANTS,COR,18/11/2003,10,
ANZIOL,Instalment Regular Normal,10.00,29/04/2005,1.0,American,CITIWARRANTS,COR,24/03/2004,10,
ANZIPB,Instalment High Geared,11.178,23/09/2004,1.0,American,BNP PARIBAS,COR,26/07/2001,1,The Exercise Price was amended from $12.00 to $11.178 on 30/10/03 as a result of the ANZ rights issue.
ANZISG,Rolling Reset Instalment,12.00,23/06/2005,1.0,American,UBS,COR,27/09/2002,10,The Barrier Level is $13.20
ANZISH,Rolling Reset Instalment,10.50,25/11/2004,1.0,American,UBS,COR,29/11/2002,10,The Barrier Level is $11.55
ANZISR,Instalment High Geared,17.00,17/05/2005,1.0,American,UBS,COR,03/06/2004,10,
ANZIWE,Instalment Regular Normal,11.199,25/05/2005,1.0,American,WESTPAC,COR,28/05/2003,10,Ex Price amended from $12.00 to $11.199 on 30/10/03 as a result of the ANZ rights issue.
ANZIWF,Instalment High Geared,14.199,25/05/2005,1.0,American,WESTPAC,COR,28/05/2003,10,Ex Price amended from $15.00 to $14.199 on 30/10/03 as a result of the ANZ rights issue.
ANZIWG,Instalment Regular Rolling,12.50,06/12/2004,1.0,European,WESTPAC,COR,18/12/2003,10,
ANZIWH,Instalment High Geared Rolling,16.50,06/12/2004,1.0,European,WESTPAC,COR,06/01/2004,10,
ANZIWJ,Instalment High Geared Rolling,14.50,06/12/2004,1.0,European,WESTPAC,COR,06/01/2004,10,
ANZIWL,Instalment High Geared Rolling,17.50,17/06/2005,1.0,European,WESTPAC,COR,18/06/2004,10,
ANZIYB,Instalment Regular Normal,12.91,26/05/2005,1.0,American,COMM BANK,COR,29/04/2002,20,Ex Price amended from $13.75 to $12.91 on 30/10/03 as a result of the ANZ rights issue.
ANZIYE,Instalment Regular Normal,12.63,25/09/2006,1.0,American,COMM BANK,COR,30/09/2003,10,Ex Price amended from $13.55 to $12.63 on 30/10/03 as a result of the ANZ rights issue.
ANZIZK,Instalment High Geared,15.00,20/01/2005,1.0,American,ABN AMRO,ADR,09/01/2004,1,
ANZIZL,Instalment High Geared,17.00,20/01/2005,1.0,American,ABN AMRO,ADR,09/01/2004,1,
ANZIZM,Instalment High Geared,16.50,28/07/2005,1.0,American,ABN AMRO,ADR,01/07/2004,1,
ANZIZN,Instalment High Geared,16.50,23/09/2004,1.0,American,ABN AMRO,ADR,01/07/2004,1,
ANZIZO,Instalment Regular Normal,10.00,15/06/2005,1.0,American,ABN AMRO,ADR,12/09/2003,2,
ANZIZQ,Instalment Regular Rolling,11.00,02/12/2005,1.0,American,ABN AMRO,ADR,03/05/2004,1,
ANZSMS,Self Funding Instalments,7.84,30/06/2008,1.0,American,MACQUARIE,COR,01/08/2003,10,Dividends paid on the underlying security will be used to reduce the Loan Amount (i.e. Exercise Price); effective from the ex-dividend date of the underlying security. The Loan Amount was amended from $7.241 to $7.84 on 30/6/04.
ANZSMT,Self Funding Instalments,8.697,30/06/2009,1.0,American,MACQUARIE,COR,09/02/2004,10,Dividends paid on the underlying security will be used to reduce the Loan Amount (i.e. Exercise Price); effective from the ex-dividend date of the underlying security. The Loan Amount was amended from $8.03 to $8.697 on 30/6/04.
ANZSWA,Self Funding Instalments,9.7204,30/06/2009,1.0,European,WESTPAC,COR,16/02/2004,10,Dividends paid on the underlying security will be used to reduce the Loan Amount (i.e. Exercise Price); effective from the ex-dividend date of the underlying security. The Loan Amount was amended from $9.0254 to $9.7204 on 30/6/04.
ANZWMA,Equity Call,19.00,23/12/2004,5.0,European,MACQUARIE,COR,06/09/2004,20,
ANZWMN,Equity Call,18.00,28/10/2004,4.0,European,MACQUARIE,COR,23/07/2004,20,
ANZWMO,Equity Call,19.00,28/10/2004,4.0,European,MACQUARIE,COR,23/07/2004,20,
ANZWMR,Equity Put,22.50,23/09/2004,1.0,European,MACQUARIE,COR,06/05/2004,5,
ANZWMS,Equity Put,18.00,28/10/2004,4.0,European,MACQUARIE,COR,23/07/2004,20,
ANZWMT,Equity Put,17.00,28/10/2004,4.0,European,MACQUARIE,COR,23/07/2004,20,
ANZWMU,Equity Put,18.00,23/12/2004,5.0,European,MACQUARIE,COR,06/09/2004,20,
ANZWMV,Equity Put,20.00,23/12/2004,1.0,European,MACQUARIE,COR,06/09/2004,5,
ANZWOF,Equity Call,18.50,23/09/2004,4.0,European,CITIWARRANTS,COR,04/05/2004,40,
ANZWOG,Equity Call,19.50,23/09/2004,4.0,European,CITIWARRANTS,COR,04/05/2004,40,
ANZWOH,Equity Call,19.25,23/12/2004,4.0,European,CITIWARRANTS,COR,15/07/2004,40,
