ASX listed companies as at Mon May 01 00:14:36 EST 2006

Company name,ASX code,GICS industry group
"BBX HOLDINGS LIMITED",BBX,"Commercial Services & Supplies"
"BEACH PETROLEUM LIMITED",BPT,"Energy"
"BEACONSFIELD GOLD NL",BCD,"Materials"
"BECKER GROUP LIMITED",BKR,"Media"
"BECTON PROPERTY GROUP LIMITED",BEC,"Real Estate"
"BELMONT HOLDINGS LIMITED",BET,"Diversified Financials"
"BEMAX RESOURCES NL",BMX,"Materials"
"BENDIGO BANK LIMITED",BEN,"Banks"
"BENDIGO MINING LIMITED",BDG,"Materials"
"BENITEC LIMITED",BLT,"Pharmaceuticals, Biotechnology & Life Sciences"
"BENTLEY INTERNATIONAL LIMITED",BEL,"Diversified Financials"
"BERKELEY RESOURCES LIMITED",BKY,"Materials"
"BERKLEE LIMITED",BER,"Automobile & Components"
"BETCORP LIMITED",BCL,"Consumer Services"
"BEYOND INTERNATIONAL LIMITED",BYI,"Media"
"BHP BILLITON FINANCE LIMITED",BHF,"GICS Sector Code Not Applicable"
"BHP BILLITON LIMITED",BHP,"Materials"
"BIGAIR GROUP LIMITED",BGL,"Telecommunication Services"
"BILL EXPRESS LIMITED",BXP,"Software & Services"
"BILLABONG INTERNATIONAL LIMITED",BBG,"Consumer Durables & Apparel"
"BIODIEM LIMITED",BDM,"Pharmaceuticals, Biotechnology & Life Sciences"
"BIOLAYER CORPORATION LIMITED",BLS,"Pharmaceuticals, Biotechnology & Life Sciences"
"BIOMD LIMITED",BOD,"Health Care Equipment & Services"
"BIOMETRICS LIMITED",BIX,"Technology Hardware & Equipment"
"BIONOMICS LIMITED",BNO,"Pharmaceuticals, Biotechnology & Life Sciences"
"BIOPHARMICA LIMITED",BPH,"Pharmaceuticals, Biotechnology & Life Sciences"
"BIOPROSPECT LIMITED",BPO,"Pharmaceuticals, Biotechnology & Life Sciences"
"BIOSIGNAL LIMITED",BOS,"Pharmaceuticals, Biotechnology & Life Sciences"
"BIOTA HOLDINGS LIMITED",BTA,"Pharmaceuticals, Biotechnology & Life Sciences"
"BIOTECH CAPITAL LIMITED",BTC,"Pharmaceuticals, Biotechnology & Life Sciences"
"BIOTRON LIMITED",BIT,"Pharmaceuticals, Biotechnology & Life Sciences"
"BIRON APPAREL LIMITED",BIC,"Retailing"
"BISAN LIMITED",BSN,"Diversified Financials"
"BKM MANAGEMENT LIMITED",BKM,"Consumer Durables & Apparel"
"BLACK RANGE MINERALS LIMITED",BLR,"Materials"
"BLACKMORES LIMITED",BKL,"Health Care Equipment & Services"
"BLAZE INTERNATIONAL LIMITED",BLZ,"Software & Services"
"BLIGH VENTURES LIMITED",BLV,"Telecommunication Services"
"BLINA DIAMONDS NL",BDI,"Materials"
"BLUE CHIP FINANCIAL SOLUTIONS LIMITED",BCF,"Classification Pending"
"BLUE ENSIGN TECHNOLOGIES LIMITED",BLE,"Consumer Services"
"BLUESCOPE STEEL LIMITED",BSL,"Materials"
"BLUESTONE TIN LIMITED",BTX,"Materials"
"BMA GOLD LIMITED",BMO,"Materials"
"BMW (UK) CAPITAL PLC",BME,"GICS Sector Code Not Applicable"
"BMW COORDINATION CENTER N.V.",BMK,"GICS Sector Code Not Applicable"
"BMW FINANCE N.V.",BMF,"GICS Sector Code Not Applicable"
"BMW US CAPITAL LLC",BMU,"GICS Sector Code Not Applicable"
"BOLNISI GOLD NL",BSG,"Materials"
"BONAPARTE DIAMOND MINES NL",BON,"Materials"
"BONE MEDICAL LIMITED",BNE,"Pharmaceuticals, Biotechnology & Life Sciences"
"BOOM LOGISTICS LIMITED",BOL,"Capital Goods"
"BORAL LIMITED.",BLD,"Materials"
"BOUGAINVILLE COPPER LIMITED",BOC,"Materials"
"BOULDER STEEL LIMITED",BGD,"Materials"
"BOUNTY INDUSTRIES LIMITED",BNT,"Energy"
"BOUNTY OIL & GAS NL",BUY,"Energy"
"BOW ENERGY LIMITED",BOW,"Energy"
"BQT SOLUTIONS LIMITED",BQT,"Technology Hardware & Equipment"
"BRADFORD & BINGLEY PLC",BBY,"GICS Sector Code Not Applicable"
"BRADKEN LIMITED",BKN,"Capital Goods"
"BRAIN RESOURCE COMPANY LIMITED (THE)",BRC,"Health Care Equipment & Services"
"BRAINYTOYS LIMITED",BRT,"Consumer Durables & Apparel"
"BRAINZ INSTRUMENTS LIMITED",BZI,"Health Care Equipment & Services"
"BRAMBLES INDUSTRIES LIMITED",BIL,"Commercial Services & Supplies"
"BRANDRILL LIMITED",BDL,"Capital Goods"
"BRAZIN LIMITED",BRZ,"Retailing"
"BREAKAWAY RESOURCES LIMITED",BRW,"Materials"
"BREMER PARK LIMITED",BPK,"Capital Goods"
"BRESAGEN LIMITED",BGN,"Pharmaceuticals, Biotechnology & Life Sciences"
"BRICKWORKS INVESTMENT COMPANY LIMITED",BKI,"Diversified Financials"
"BRICKWORKS LIMITED",BKW,"Materials"
"BRIDGESTONE AUSTRALIA LIMITED",BDS,"Automobile & Components"
"BRISBANE BRONCOS LIMITED",BBL,"Media"
"BRISBANE CITY COUNCIL",XQB,"GICS Sector Code Not Applicable"
"BRITANNIA BUILDING SOCIETY",BBS,"GICS Sector Code Not Applicable"
"BROAD INVESTMENTS LIMITED",BRO,"Telecommunication Services"
"BROADCAST SERVICES AUSTRALIA LIMITED",BSA,"Media"
"BUDERIM GINGER LIMITED",BUG,"Food Beverage & Tobacco"
"BUKA GOLD LIMITED",BKG,"Materials"
"BUKA MINERALS LIMITED",BKA,"Materials"
"BULLION MINERALS LIMITED",BLN,"Materials"
"BUNNINGS WAREHOUSE PROPERTY TRUST",BWP,"Real Estate"
"BURLESON ENERGY LIMITED",BUR,"Classification Pending"
"BURNS, PHILP & COMPANY LIMITED",BPC,"Food Beverage & Tobacco"
"BYTE POWER GROUP LIMITED",BPG,"Software & Services"
"C @ LIMITED",CEO,"Health Care Equipment & Services"
"CABCHARGE AUSTRALIA LIMITED",CAB,"Commercial Services & Supplies"
"CALLIDEN GROUP LIMITED",CIX,"Insurance"
"CALTEX AUSTRALIA LIMITED",CTX,"Energy"
"CAMPBELL BROTHERS LIMITED",CPB,"Materials"
"CANADA LAND LIMITED",CDL,"Real Estate"
"CANBERRA INVESTMENT CORPORATION LIMITED",CNB,"Real Estate"
"CANDLE AUSTRALIA LIMITED",CND,"Commercial Services & Supplies"
"CAPE LAMBERT IRON ORE LTD",CFE,"Materials"
"CAPE RANGE WIRELESS LIMITED",CAG,"Telecommunication Services"
"CAPITAL INTELLIGENCE LIMITED",CPT,"Consumer Services"
"CAPRAL ALUMINIUM LIMITED",CAA,"Materials"
"CARBON MINERALS NL",CRM,"Energy"
"CARDIA TECHNOLOGIES LIMITED",CNN,"Capital Goods"
"CARDNO LIMITED",CDD,"Capital Goods"
"CARINDALE PROPERTY TRUST",CDP,"Real Estate"
"CARLTON INVESTMENTS LIMITED",CIN,"Diversified Financials"
"CARNARVON PETROLEUM LIMITED",CVN,"Energy"
"CARNEGIE CORPORATION LIMITED",CNM,"Materials"
"CARPATHIAN RESOURCES LIMITED",CPN,"Energy"
"CARRICK GOLD LIMITED",CRK,"Materials"
"CASH CONVERTERS INTERNATIONAL",CCV,"Retailing"
"CASPIAN OIL & GAS LIMITED",CIG,"Energy"
"CASTLE MINERALS LIMITED",CDT,"Classification Pending"
"CATALYST RECRUITMENT SYSTEMS LIMITED",CRU,"Commercial Services & Supplies"
"CATHRX LTD",CXD,"Health Care Equipment & Services"
"CATUITY INC",CAT,"Software & Services"
"CAZALY RESOURCES LIMITED",CAZ,"Materials"
"CBD ENERGY LIMITED",CBD,"Capital Goods"
"CBD RETAIL INFRASTRUCTURE (NO.2) LIMITED",CBE,"GICS Sector Code Not Applicable"
"CBH RESOURCES LIMITED",CBH,"Materials"
"CCI HOLDINGS LIMITED.",CHL,"Energy"
"CCK FINANCIAL SOLUTIONS LIMITED",CCK,"Software & Services"
"CDS TECHNOLOGIES LIMITED",CDX,"Capital Goods"
"CEC GROUP LIMITED",CEG,"Capital Goods"
"CEDAR WOODS PROPERTIES LIMITED",CWP,"Real Estate"
"CELL AQUACULTURE LIMITED",CAQ,"Capital Goods"
"CELLESTIS LIMITED",CST,"Pharmaceuticals, Biotechnology & Life Sciences"
"CELLNET GROUP LIMITED",CLT,"Technology Hardware & Equipment"
"CELTEX LIMITED",CXE,"Consumer Services"
"CENTAMIN EGYPT LIMITED",CNT,"Materials"
"CENTAURI CORPORATION",CET,"GICS Sector Code Not Applicable"
"CENTENNIAL COAL COMPANY LIMITED",CEY,"Energy"
"CENTRAL ASIA GOLD LIMITED",CGX,"Materials"
"CENTRAL EQUITY LIMITED",CEQ,"Real Estate"
"CENTRAL PETROLEUM LIMITED",CTP,"Energy"
"CENTRAL WEST GOLD NL",CWG,"Materials"
"CENTRALIAN MINERALS LIMITED",CME,"Materials"
"CENTREPOINT ALLIANCE LIMITED",CAF,"Diversified Financials"
"CENTRO PROPERTIES GROUP.",CNP,"Real Estate"
"CENTRO RETAIL GROUP",CER,"Real Estate"
"CENTURY AUSTRALIA INVESTMENTS LIMITED",CYA,"Diversified Financials"
"CERAMIC FUEL CELLS LIMITED",CFU,"Capital Goods"
"CERVANTES SEAFOOD LIMITED",CVS,"Food Beverage & Tobacco"
"CFS GANDEL RETAIL TRUST",GAN,"Real Estate"
"CH4 GAS LIMITED",CHX,"Energy"
"CHALICE GOLD MINES LIMITED",CHN,"Materials"
"CHALLENGER FINANCIAL SERVICES GROUP LIMITED",CGF,"Diversified Financials"
"CHALLENGER INFRASTRUCTURE FUND",CIF,"Utilities"
"CHALLENGER WINE TRUST",CWT,"Real Estate"
"CHALMERS LIMITED",CHR,"Transportation"
"CHAMELEON MINING NL",CHM,"Materials"
"CHANDLER MACLEOD LIMITED",CHD,"Commercial Services & Supplies"
"CHAPMANS LIMITED",CHP,"Diversified Financials"
"CHARIOT LIMITED",CTI,"Software & Services"
"CHARTER HALL GROUP",CHC,"Real Estate"
"CHARTER PACIFIC CORPORATION LIMITED",CHF,"Diversified Financials"
"CHEMEQ LIMITED",CMQ,"Pharmaceuticals, Biotechnology & Life Sciences"
"CHEMGENEX PHARMACEUTICALS LTD",CXS,"Pharmaceuticals, Biotechnology & Life Sciences"
"CHESTER MINING LIMITED",CHT,"Materials"
"CHEVIOT BRIDGE LIMITED",CVB,"Retailing"
"CHEVIOT KIRRIBILLY VINEYARD PROPERTY GROUP",CKP,"Classification Pending"
"CHILDS FAMILY KINDERGARTENS LIMITED",CFK,"Consumer Services"
"CHINA CATTLE LIMITED",CAC,"Materials"
"CHINA CONSTRUCTION HOLDINGS LIMITED",CIH,"Capital Goods"
